,Player,Gross P/W(EUR),Gross P/Y(EUR),Gross P/Y(EUR).1,Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025",Years Remaining 123,Gross Remaining(EUR),Release Clause(EUR),Pos. DFKM,Pos. AMCBCFCMDMGKLBLMLWRBRMRW,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026",Years Remaining 1234,Pos. AMCBCFCMDMGKLBLMLWRBRW,Pos. AMCBCFCMDMGKLBLWRBRMRW,Pos. CBCFCMGKLBRBRMRW,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027",Years Remaining 12345,Pos. AMCBCFCMDMGKLBLWRB,Pos. AMCBCFCMDMGKLBRBRM,Pos. AMCBCFCMDMGKLBLWRBRW,Pos. AMCBCFCMDMGKLBRBRW,Pos. CBCFCMDMGKLBLWRBRMRW,Pos. AMCBCFDMGKLBLWRBRW,Pos. AMCBCFCMDMGKLBLMRB
468,Lesley Ugochukwu,€ 769,"€ 40,000",,"Jun 23, 2022",,,"€ 120,000",,M,,18.0,Reserve,France,,,Rennes,Ligue 1,2022-2023,,,,DM,,"Jun 30, 2025",3.0,,,,,,,
469,Guéla Doué,€ 577,"€ 30,000",,"Jan 17, 2023",,,"€ 90,000",,D,,20.0,Reserve,France,,,Rennes,Ligue 1,2022-2023,,,,RB,,"Jun 30, 2025",3.0,,,,,,,
470,Jeanuël Belocian,€ 577,"€ 30,000",,"Jul 1, 2022",,,"€ 60,000",,D,,17.0,Reserve,France,,,Rennes,Ligue 1,2022-2023,,,,CB,,"Jun 30, 2024",2.0,,,,,,,
471,Warmed Omari,€ 577,"€ 30,000",,"Dec 30, 2021",,,"€ 120,000",,D,,22.0,Reserve,France,,,Rennes,Ligue 1,2022-2023,,,,CB,,"Jun 30, 2026",4.0,,,,,,,
472,Ibrahim Salah,€ 0,€ 0,,"Jan 31, 2023",,,€ 0,,F,,21.0,Reserve,Morocco,,,Rennes,Ligue 1,2022-2023,,,,LW,,"Jun 30, 2027",5.0,,,,,,,
473,Xeka,€ 0,€ 0,,"Sep 21, 2022",,,€ 0,,M,,28.0,Reserve,Portugal,,,Rennes,Ligue 1,2022-2023,,,,CM,,"Jun 30, 2024",2.0,,,,,,,
474,Total,"€ 631,731","€ 32,850,000",€ 0,,,,"€ 96,970,000",€ 0,,,,,,,,Rennes,Ligue 1,2022-2023,,,,,,,,,,,,,,
475,Morgan Sanson,"€ 50,000","€ 2,600,000",,"Jan 23, 2023",,,"€ 2,600,000",,M,,28.0,Starter,France,,,Strasbourg,Ligue 1,2022-2023,,,,,,"Jun 30, 2023",1.0,,,,,,,CM
476,Kévin Gameiro,"€ 27,692","€ 1,440,000",,"Jul 18, 2021",,,"€ 1,440,000",,F,,35.0,Starter,France,,,Strasbourg,Ligue 1,2022-2023,,,,,,"Jun 30, 2023",1.0,,,,,,,CF
477,Habib Diarra,"€ 21,923","€ 1,140,000",,"Jul 21, 2022",,,"€ 5,700,000",,M,,19.0,Reserve,France,,,Strasbourg,Ligue 1,2022-2023,,,,,,"Jun 30, 2027",5.0,,,,,,,DM
478,Matz Sels,"€ 20,769","€ 1,080,000",,"Jun 23, 2022",,,"€ 4,320,000",,K,,30.0,Starter,Belgium,,,Strasbourg,Ligue 1,2022-2023,,,,,,"Jun 30, 2026",4.0,,,,,,,GK
479,Jean-Eudes Aholou,"€ 17,885","€ 930,000",,"Jul 1, 2022",,,"€ 1,860,000",,M,,28.0,Reserve,Cote d'Ivoire,,,Strasbourg,Ligue 1,2022-2023,,,,,,"Jun 30, 2024",2.0,,,,,,,DM
480,Alexander Djiku,"€ 16,154","€ 840,000",,"Jul 5, 2019",,,"€ 840,000",,D,,28.0,Reserve,Ghana,,,Strasbourg,Ligue 1,2022-2023,,,,,,"Jun 30, 2023",1.0,,,,,,,CB
481,Lebo Mothiba,"€ 16,154","€ 840,000",,"Aug 30, 2018",,,"€ 1,680,000",,F,,27.0,Reserve,South Africa,,,Strasbourg,Ligue 1,2022-2023,,,,,,"Jun 30, 2024",2.0,,,,,,,CF
482,Sanjin Prcic,"€ 16,154","€ 840,000",,"May 24, 2022",,,"€ 2,520,000",,M,,29.0,Starter,Bosnia-Herzegovina,,,Strasbourg,Ligue 1,2022-2023,,,,,,"Jun 30, 2025",3.0,,,,,,,CM
483,Colin Dagba,"€ 12,692","€ 660,000",,"Jul 6, 2022",,,"€ 660,000",,D,,24.0,Reserve,France,,,Strasbourg,Ligue 1,2022-2023,,,,,,"Jun 30, 2023",1.0,,,,,,,RB
484,Dimitri Liénard,"€ 11,731","€ 610,000",,"Jun 28, 2021",,,"€ 610,000",,M,,34.0,Starter,France,,,Strasbourg,Ligue 1,2022-2023,,,,,,"Jun 30, 2023",1.0,,,,,,,LM
485,Habib Diallo,"€ 11,731","€ 610,000",,"Oct 5, 2020",,,"€ 1,830,000",,F,,27.0,Starter,Senegal,,,Strasbourg,Ligue 1,2022-2023,,,,,,"Jun 30, 2025",3.0,,,,,,,CF
486,Thomas Delaine,"€ 10,000","€ 520,000",,"Jul 1, 2022",,,"€ 1,560,000",,D,,30.0,Reserve,France,,,Strasbourg,Ligue 1,2022-2023,,,,,,"Jun 30, 2025",3.0,,,,,,,LB
487,Gerzino Nyamsi,"€ 8,654","€ 450,000",,"Aug 30, 2021",,,"€ 1,350,000",,D,,26.0,Reserve,France,,,Strasbourg,Ligue 1,2022-2023,,,,,,"Jun 30, 2025",3.0,,,,,,,CB
488,Maxime Le Marchand,"€ 7,692","€ 400,000",,"Aug 26, 2021",,,"€ 400,000",,D,,33.0,Starter,France,,,Strasbourg,Ligue 1,2022-2023,,,,,,"Jun 30, 2023",1.0,,,,,,,CB
489,Ismaël Doukouré,"€ 7,692","€ 400,000",,"Jan 29, 2022",,,"€ 1,600,000",,D,,19.0,Starter,France,,,Strasbourg,Ligue 1,2022-2023,,,,,,"Jun 30, 2026",4.0,,,,,,,CB
490,Eiji Kawashima,"€ 7,115","€ 370,000",,"Jun 12, 2021",,,"€ 370,000",,K,,39.0,Reserve,Japan,,,Strasbourg,Ligue 1,2022-2023,,,,,,"Jun 30, 2023",1.0,,,,,,,GK
491,Jean-Ricner Bellegarde,"€ 6,538","€ 340,000",,"Nov 8, 2021",,,"€ 680,000",,M,,24.0,Reserve,France,,,Strasbourg,Ligue 1,2022-2023,,,,,,"Jun 30, 2024",2.0,,,,,,,CM
492,Ibrahima Sissoko,"€ 6,346","€ 330,000",,"May 22, 2020",,,"€ 660,000",,M,,25.0,Starter,France,,,Strasbourg,Ligue 1,2022-2023,,,,,,"Jun 30, 2024",2.0,,,,,,,DM
493,Lucas Perrin,"€ 1,923","€ 100,000",,"Jul 1, 2022",,,"€ 300,000",,D,,24.0,Starter,France,,,Strasbourg,Ligue 1,2022-2023,,,,,,"Jun 30, 2025",3.0,,,,,,,CB
494,Nordine Kandil,€ 769,"€ 40,000",,"Jun 23, 2022",,,"€ 120,000",,F,,21.0,Reserve,France,,,Strasbourg,Ligue 1,2022-2023,,,,,,"Jun 30, 2025",3.0,,,,,,,AM
495,Alexandre Pierre,€ 577,"€ 30,000",,"Jul 1, 2021",,,"€ 60,000",,K,,21.0,Reserve,Haiti,,,Strasbourg,Ligue 1,2022-2023,,,,,,"Jun 30, 2024",2.0,,,,,,,GK
496,Eduard Sobol,€ 0,€ 0,,"Jan 23, 2023",,,€ 0,,D,,27.0,Reserve,Ukraine,,,Strasbourg,Ligue 1,2022-2023,,,,,,"Jun 30, 2026",4.0,,,,,,,LB
497,Robin Risser,€ 0,€ 0,,"Jul 1, 2021",,,€ 0,,K,,18.0,Reserve,France,,,Strasbourg,Ligue 1,2022-2023,,,,,,"Jun 30, 2023",1.0,,,,,,,GK
498,Yuito Suzuki,€ 0,€ 0,,"Jan 27, 2023",,,€ 0,,F,,21.0,Reserve,Japan,,,Strasbourg,Ligue 1,2022-2023,,,,,,"Jun 30, 2023",1.0,,,,,,,AM
499,Frédéric Guilbert,€ 0,€ 0,,"Jan 17, 2023",,,€ 0,,D,,28.0,Starter,France,,,Strasbourg,Ligue 1,2022-2023,,,,,,"Jun 30, 2026",4.0,,,,,,,RB
500,Total,"€ 280,191","€ 14,570,000",€ 0,,,,"€ 31,160,000",€ 0,,,,,,,,Strasbourg,Ligue 1,2022-2023,,,,,,,,,,,,,,
501,Brecht Dejaegere,"€ 17,308","€ 900,000",,"Jul 1, 2021",,,"€ 900,000",,M,,31.0,Starter,Belgium,,,Toulouse,Ligue 1,2022-2023,,,,,,"Jun 30, 2023",1.0,,,CM,,,,
502,Branco van den Boomen,"€ 15,000","€ 780,000",,"Aug 7, 2020",,,"€ 780,000",,M,,27.0,Reserve,Netherlands,,,Toulouse,Ligue 1,2022-2023,,,,,,"Jun 30, 2023",1.0,,,CM,,,,
503,Ado Onaiwu,"€ 11,538","€ 600,000",,"Jul 20, 2021",,,"€ 1,200,000",,F,,27.0,Reserve,Japan,,,Toulouse,Ligue 1,2022-2023,,,,,,"Jun 30, 2024",2.0,,,CF,,,,
504,Mikkel Desler,"€ 11,538","€ 600,000",,"Jul 20, 2021",,,"€ 600,000",,D,,27.0,Starter,Denmark,,,Toulouse,Ligue 1,2022-2023,,,,,,"Jun 30, 2023",1.0,,,RB,,,,
505,Veljko Birmancevic,"€ 11,538","€ 600,000",,"Sep 1, 2022",,,"€ 2,400,000",,F,,24.0,Reserve,Serbia,,,Toulouse,Ligue 1,2022-2023,,,,,,"Jun 30, 2026",4.0,,,LW,,,,
506,Rasmus Nicolaisen,"€ 10,577","€ 550,000",,"Aug 17, 2021",,,"€ 1,650,000",,D,,25.0,Starter,Denmark,,,Toulouse,Ligue 1,2022-2023,,,,,,"Jun 30, 2025",3.0,,,CB,,,,
507,Rafael Ratão,"€ 9,615","€ 500,000",,"Aug 31, 2021",,,"€ 1,000,000",,F,,27.0,Starter,Brazil,,,Toulouse,Ligue 1,2022-2023,,,,,,"Jun 30, 2024",2.0,,,LW,,,,
508,Zakaria Aboukhlal,"€ 5,769","€ 300,000",,"Jul 1, 2022",,,"€ 1,200,000",,F,,22.0,Starter,Morocco,,,Toulouse,Ligue 1,2022-2023,,,,,,"Jun 30, 2026",4.0,,,RW,,,,
509,Kjetil Haug,"€ 5,769","€ 300,000",,"Jul 1, 2022",,,"€ 1,200,000",,K,,24.0,Reserve,Norway,,,Toulouse,Ligue 1,2022-2023,,,,,,"Jun 30, 2026",4.0,,,GK,,,,
510,Logan Costa,"€ 5,577","€ 290,000",,"Aug 20, 2021",,,"€ 870,000",,D,,21.0,Reserve,Cape Verde,,,Toulouse,Ligue 1,2022-2023,,,,,,"Jun 30, 2025",3.0,,,CB,,,,
511,Maxime Dupé,"€ 5,000","€ 260,000",,"Jul 1, 2020",,,"€ 260,000",,K,,29.0,Starter,France,,,Toulouse,Ligue 1,2022-2023,,,,,,"Jun 30, 2023",1.0,,,GK,,,,
512,Theocharis Tsingaras,"€ 4,615","€ 240,000",,"Sep 1, 2022",,,"€ 240,000",,M,,22.0,Reserve,Greece,,,Toulouse,Ligue 1,2022-2023,,,,,,"Jun 30, 2023",1.0,,,CM,,,,
513,Oliver Zandén,"€ 4,615","€ 240,000",,"Jul 19, 2022",,,"€ 960,000",,D,,21.0,Reserve,Sweden,,,Toulouse,Ligue 1,2022-2023,,,,,,"Jun 30, 2026",4.0,,,LB,,,,
514,Denis Genreau,"€ 3,462","€ 180,000",,"Aug 2, 2021",,,"€ 540,000",,F,,23.0,Reserve,Australia,,,Toulouse,Ligue 1,2022-2023,,,,,,"Jun 30, 2025",3.0,,,AM,,,,
515,Stijn Spierings,"€ 3,077","€ 160,000",,"Oct 5, 2020",,,"€ 160,000",,M,,26.0,Starter,Netherlands,,,Toulouse,Ligue 1,2022-2023,,,,,,"Jun 30, 2023",1.0,,,DM,,,,
516,Rhys Healey,"€ 2,500","€ 130,000",,"Aug 27, 2020",,,"€ 130,000",,F,,28.0,Reserve,England,,,Toulouse,Ligue 1,2022-2023,,,,,,"Jun 30, 2023",1.0,,,CF,,,,
517,Thijs Dallinga,"€ 2,308","€ 120,000",,"Jul 1, 2022",,,"€ 480,000",,F,,22.0,Starter,Netherlands,,,Toulouse,Ligue 1,2022-2023,,,,,,"Jun 30, 2026",4.0,,,CF,,,,
518,Farès Chaïbi,"€ 2,308","€ 120,000",,"Jul 1, 2022",,,"€ 360,000",,F,,20.0,Starter,France,,,Toulouse,Ligue 1,2022-2023,,,,,,"Jun 30, 2025",3.0,,,AM,,,,
519,Anthony Rouault,"€ 1,731","€ 90,000",,"Aug 13, 2021",,,"€ 180,000",,D,,21.0,Starter,France,,,Toulouse,Ligue 1,2022-2023,,,,,,"Jun 30, 2024",2.0,,,CB,,,,
520,Moussa Diarra,"€ 1,346","€ 70,000",,"Sep 29, 2021",,,"€ 140,000",,D,,22.0,Reserve,Mali,,,Toulouse,Ligue 1,2022-2023,,,,,,"Jun 30, 2024",2.0,,,LB,,,,
521,Kévin Keben,"€ 1,154","€ 60,000",,"Jul 1, 2022",,,"€ 180,000",,D,,19.0,Reserve,Cameroon,,,Toulouse,Ligue 1,2022-2023,,,,,,"Jun 30, 2025",3.0,,,CB,,,,
522,Thomas Himeur,€ 385,"€ 20,000",,"Jul 1, 2021",,,"€ 40,000",,K,,22.0,Reserve,France,,,Toulouse,Ligue 1,2022-2023,,,,,,"Jun 30, 2024",2.0,,,GK,,,,
523,Gabriel Suazo,€ 0,€ 0,,"Jan 16, 2023",,,€ 0,,D,,25.0,Starter,Chile,,,Toulouse,Ligue 1,2022-2023,,,,,,"Jun 30, 2026",4.0,,,LB,,,,
524,Saïd Hamulic,€ 0,€ 0,,"Jan 24, 2023",,,€ 0,,F,,22.0,Reserve,Bosnia-Herzegovina,,,Toulouse,Ligue 1,2022-2023,,,,,,"Jun 30, 2027",5.0,,,CF,,,,
525,Vincent Sierro,€ 0,€ 0,,"Jan 23, 2023",,,€ 0,,M,,27.0,Reserve,Switzerland,,,Toulouse,Ligue 1,2022-2023,,,,,,"Jun 30, 2026",4.0,,,CM,,,,
526,Warren Kamanzi,€ 0,€ 0,,"Jan 2, 2023",,,€ 0,,D,,22.0,Reserve,Norway,,,Toulouse,Ligue 1,2022-2023,,,,,,"Jun 30, 2026",4.0,,,RB,,,,
527,Total,"€ 136,730","€ 7,110,000",€ 0,,,,"€ 15,470,000",€ 0,,,,,,,,Toulouse,Ligue 1,2022-2023,,,,,,,,,,,,,,
528,Rony Lopes,"€ 42,308","€ 2,200,000",,"Aug 24, 2022",,,"€ 2,200,000",,F,,27.0,Starter,Portugal,,,Troyes,Ligue 1,2022-2023,,,,,,"Jun 30, 2023",1.0,,,RW,,,,
529,Jeff Reine-Adélaïde,"€ 21,731","€ 1,130,000",,"Jan 30, 2023",,,"€ 1,130,000",,F,,25.0,Starter,France,,,Troyes,Ligue 1,2022-2023,,,,,,"Jun 30, 2023",1.0,,,AM,,,,
530,Renaud Ripart,"€ 16,154","€ 840,000",,"Jul 15, 2021",,,"€ 2,520,000",,F,,29.0,Reserve,France,,,Troyes,Ligue 1,2022-2023,,,,,,"Jun 30, 2025",3.0,,,RW,,,,
531,Iké Ugbo,"€ 15,000","€ 780,000",,"Aug 4, 2022",,,"€ 3,120,000",,F,,24.0,Reserve,Canada,,,Troyes,Ligue 1,2022-2023,,,,,,"Jun 30, 2026",4.0,,,CF,,,,
532,Ante Palaversa,"€ 15,000","€ 780,000",,"Aug 31, 2022",,,"€ 2,340,000",,M,,22.0,Reserve,Croatia,,,Troyes,Ligue 1,2022-2023,,,,,,"Jun 30, 2025",3.0,,,CM,,,,
533,Adil Rami,"€ 15,000","€ 780,000",,"Jul 8, 2022",,,"€ 780,000",,D,,37.0,Reserve,France,,,Troyes,Ligue 1,2022-2023,,,,,,"Jun 30, 2023",1.0,,,CB,,,,
534,Xavier Chavalerin,"€ 15,000","€ 780,000",,"Aug 29, 2021",,,"€ 1,560,000",,M,,31.0,Starter,France,,,Troyes,Ligue 1,2022-2023,,,,,,"Jun 30, 2024",2.0,,,CM,,,,
535,Mama Baldé,"€ 14,615","€ 760,000",,"Jul 31, 2021",,,"€ 2,280,000",,F,,27.0,Starter,Guinea-Bissau,,,Troyes,Ligue 1,2022-2023,,,,,,"Jun 30, 2025",3.0,,,CF,,,,
536,Abdu Conté,"€ 13,462","€ 700,000",,"Jan 12, 2022",,,"€ 2,800,000",,D,,24.0,Reserve,Portugal,,,Troyes,Ligue 1,2022-2023,,,,,,"Jun 30, 2026",4.0,,,LB,,,,
537,Rominigue Kouamé,"€ 12,692","€ 660,000",,"Jul 1, 2021",,,"€ 1,320,000",,M,,26.0,Reserve,Mali,,,Troyes,Ligue 1,2022-2023,,,,,,"Jun 30, 2024",2.0,,,CM,,,,
538,Jackson Porozo,"€ 12,692","€ 660,000",,"Jul 1, 2022",,,"€ 3,300,000",,D,,22.0,Starter,Ecuador,,,Troyes,Ligue 1,2022-2023,,,,,,"Jun 30, 2027",5.0,,,CB,,,,
539,Tristan Dingomé,"€ 12,692","€ 660,000",,"Oct 5, 2020",,,"€ 660,000",,M,,31.0,Reserve,Cameroon,,,Troyes,Ligue 1,2022-2023,,,,,,"Jun 30, 2023",1.0,,,CM,,,,
540,Lucien Agoume,"€ 12,308","€ 640,000",,"Sep 1, 2022",,,"€ 640,000",,M,,20.0,Starter,France,,,Troyes,Ligue 1,2022-2023,,,,,,"Jun 30, 2023",1.0,,,DM,,,,
541,Erik Palmer-Brown,"€ 11,538","€ 600,000",,"Feb 2, 2022",,,"€ 1,200,000",,D,,25.0,Starter,United States,,,Troyes,Ligue 1,2022-2023,,,,,,"Jun 30, 2024",2.0,,,CB,,,,
542,Gauthier Gallon,"€ 6,923","€ 360,000",,"Jun 26, 2021",,,"€ 720,000",,K,,29.0,Starter,France,,,Troyes,Ligue 1,2022-2023,,,,,,"Jun 30, 2024",2.0,,,GK,,,,
543,Mateusz Lis,"€ 5,769","€ 300,000",,"Sep 1, 2022",,,"€ 300,000",,K,,25.0,Reserve,Poland,,,Troyes,Ligue 1,2022-2023,,,,,,"Jun 30, 2023",1.0,,,GK,,,,
544,Yoann Salmier,"€ 5,769","€ 300,000",,"Jun 30, 2021",,,"€ 600,000",,D,,30.0,Starter,French Guiana,,,Troyes,Ligue 1,2022-2023,,,,,,"Jun 30, 2024",2.0,,,CB,,,,
545,Andreas Bruus,"€ 5,192","€ 270,000",,"Jul 18, 2022",,,"€ 1,350,000",,D,,24.0,Reserve,Denmark,,,Troyes,Ligue 1,2022-2023,,,,,,"Jun 30, 2027",5.0,,,RB,,,,
546,Papa Ndiaga Yade,"€ 5,192","€ 270,000",,"Aug 25, 2022",,,"€ 270,000",,F,,23.0,Reserve,Senegal,,,Troyes,Ligue 1,2022-2023,,,,,,"Jun 30, 2023",1.0,,,LW,,,,
547,Jessy Moulin,"€ 3,846","€ 200,000",,"Jul 19, 2021",,,"€ 200,000",,K,,37.0,Reserve,France,,,Troyes,Ligue 1,2022-2023,,,,,,"Jun 30, 2023",1.0,,,GK,,,,
548,Florian Tardieu,"€ 3,269","€ 170,000",,"Jun 25, 2021",,,"€ 340,000",,M,,30.0,Reserve,France,,,Troyes,Ligue 1,2022-2023,,,,,,"Jun 30, 2024",2.0,,,CM,,,,
549,Thierno Baldé,"€ 2,885","€ 150,000",,"Aug 9, 2022",,,"€ 750,000",,D,,20.0,Starter,France,,,Troyes,Ligue 1,2022-2023,,,,,,"Jun 30, 2027",5.0,,,RB,,,,
550,Eric N'Jo,"€ 1,154","€ 60,000",,"Jun 8, 2022",,,"€ 180,000",,D,,18.0,Reserve,France,,,Troyes,Ligue 1,2022-2023,,,,,,"Jun 30, 2025",3.0,,,CB,,,,
551,Levi Lumeka,"€ 1,154","€ 60,000",,"Jul 28, 2020",,,"€ 120,000",,F,,24.0,Reserve,England,,,Troyes,Ligue 1,2022-2023,,,,,,"Jun 30, 2024",2.0,,,LW,,,,
552,Wilson Odobert,€ 769,"€ 40,000",,"Jan 24, 2023",,,"€ 200,000",,F,,18.0,Reserve,France,,,Troyes,Ligue 1,2022-2023,,,,,,"Jun 30, 2027",5.0,,,RW,,,,
553,Yasser Larouci,€ 385,"€ 20,000",,"Jul 28, 2021",,,"€ 80,000",,D,,22.0,Starter,France,,,Troyes,Ligue 1,2022-2023,,,,,,"Jun 30, 2026",4.0,,,LB,,,,
554,Tanguy Zoukrou,€ 0,€ 0,,"Jul 1, 2022",,,€ 0,,D,,19.0,Reserve,France,,,Troyes,Ligue 1,2022-2023,,,,,,"Jun 30, 2024",2.0,,,CB,,,,
555,Alexis Tibidi,€ 0,€ 0,,"Jan 28, 2023",,,€ 0,,F,,19.0,Reserve,France,,,Troyes,Ligue 1,2022-2023,,,,,,"Jun 30, 2027",5.0,,,LW,,,,
556,Marlos Moreno,€ 0,€ 0,,"Sep 1, 2022",,,€ 0,,F,,26.0,Reserve,Colombia,,,Troyes,Ligue 1,2022-2023,,,,,,"Jun 30, 2024",2.0,,,RW,,,,
557,Total,"€ 272,499","€ 14,170,000",€ 0,,,,"€ 30,960,000",€ 0,,,,,,,,Troyes,Ligue 1,2022-2023,,,,,,,,,,,,,,
